number,id,gender,age,final_choice,emo1_happiness,emo1_joy,emo1_despair,emo1_sadness,emo1_irritation,emo1_rage,emo1_confusion,feedback
1,5ee68355016ec23e95a6,F,24,B,9,7,0,0,1,0,5,"Nothing was as confusing as I am an avid lover of rpg games. I was a bit confused why is this game a prolific survey but I enjoyed it v much \n\nThe game felt immersive, so i was more and more curious. "
2,6109656bb28bc0fadcad,F,27,B,10,10,0,0,0,0,0,"I was worried at first but after the safe opened, I felt much at ease."
3,5fff7878ca36d40be135,M,29,B,10,10,0,0,0,0,0,"I just feel satisfied that I could open the safe in one try"
4,6413b9ca1f01f7b5b80e,M,40,B,7,6,2,1,4,0,1,"I feel happy that I completed the game. Some irritation that I had to search multiple places to find the key."
5,5f6490202f0660010d59,M,40,B,0,0,0,0,0,0,0,"I have schizoid personality disorder so feel little in the way of emotions. If anything, I feel intrigued at what this study is trying to investigate, and liked the AI generated images"
6,657b1ac8f219aa9a6748,F,26,B,7,6,0,1,0,0,0,"The illustrations were beautiful and was a really enjoyable part of the game. Beautiful imagery makes me happy so I enjoyed playing the game."
7,60d3511c0fbe657b15fc,F,40,B,8,8,0,0,0,2,0,"Happiness & Joy at having found the ring. \nSlight rage because they had stolen property from my family"
8,5ccf4862ac0d66000147,O,24,B,10,10,0,0,0,0,0,"As Alex I'd feel very relieved and joyous that I'd gotten back what had once been stolen from my family.\n\nI had no particular striking feeling throughout the game, only at the end. I did not feel the game was engaging enough for me to develop any strong feelings on it throughout."
9,6112824dc733659aff68,F,23,B,8,8,5,0,0,0,0,"I felt anxious especially when I was looking for the key . I was anxious because I was afraid of getting caught. Towards the end of the game I felt relieved and excited because I had found what I was looking for .
10,60e711d4f9fdb12be32e,M,25,B,6,5,2,2,3,2,6,"Is it ok to steal this ring? It is beautiful but I don't feel ok sneaking in someone's house, that's why I'm not fully happy, maybe there were different ways. The game was fun though"
11,5edf79e9d2ee10233b7d,F,38,B,4,2,1,1,2,0,3,"This game did not have a large impact on my emotions. I felt a little boredom and then a little agitation, because the game is pretty one-dimensional. There was one moment, just after finding the key, when I felt mild curiosity. "
12,60f6e2a533f80879c95b,M,25,B,9,9,8,3,2,1,2,"i feel happy. cause im expecting something in the safe. something valuable. but scared to get caught"
13,60f6bf3ef10b827e6ca3,M,42,B,10,10,0,0,0,0,0,"I felt happy that I was able to retrieve the ring.
14,654cec434a34b1f4aad9,M,37,B,4,3,0,0,1,0,0,"The game was too easy and the AI art was honestly bad.\nThere wasn't a huge range of emotions in this basic game."
15,5caf52b18b46a700131e,F,58,B,9,9,0,0,0,0,0,"I feel happy because i have found the ring.IN the beginning i was a little bit nervous just incase i got the wrong lock shape.
16,65c9f9d69e14806cb27f,M,45,B,7,6,0,5,2,0,2,"Confusion: I am wondering about previous choices - was the plant referred to in the earlier question the same one I was looking at in the picture? or was it another of the plants? Why were all the items that cÂ´would catch my eye on the left side of the image. Very odd\n\nIrritation:  for I would like to play again and see how the wrong answer ending would have looked like\n\nSadness: that it was n"
17,61736ce99f9d835fe9eb,F,34,B,10,10,0,0,0,0,0,"I am feeling so happy that I managed to find the heirloom that rightfully belongs to my family. At first hearing about how this rival family had something that belongs to my ancestors really annoyed me and enraged me. But as soon as I planned to get back what's ours, I started feeling better and also nervous. While executing the recovery plan I was anxious and afraid that one mistake could ruin my"
18,6136266c04528ef90b95,M,41,B,7,7,2,2,0,0,3,"It's always a good feeling of achievement when you manage to beat the game. Was a bit confused as to some of the puzzles.
19,63c5335da2b625ab1ade,F,24,B,8,8,1,2,0,0,0,"It was fun to do this quest, although the fact that the AI generated pictures weren't clickable made it a little bit annoying at times. The sadness comes from my own background, not from the adventure."